year;country;commodity_group;main_commercial_species;preservation;presentation;value(EUR);volume(kg);price
2013;United Kingdom;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       329356,00;        13000,00;           25,34
2003;Ireland;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2005;Slovakia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      1374000,00;       756000,00;            1,82
2004;Spain;Tuna and tuna-like species;Tuna, bigeye;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2004;Spain;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;        48000,00;            0,00;
2007;Spain;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;     50776000,00;      6838000,00;            7,43
2018;Austria;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      5454481,30;       572551,00;            9,53
2007;Spain;Tuna and tuna-like species;Tuna, yellowfin;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;Spain;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;         5000,00;            0,00;
2018;Austria;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;       174367,75;         9872,00;           17,66
2018;Cyprus;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;       297269,90;        28100,00;           10,58
2018;Germany;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     12711521,80;      4882600,00;            2,60
2013;Portugal;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;      2010706,11;       794510,00;            2,53
2009;Greece;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;       534000,00;        40000,00;           13,35
2009;Greece;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;    144785479,00;     33631000,00;            4,31
2009;Greece;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;         7169,00;         1000,00;            7,17
2009;Greece;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;       175714,00;        22000,00;            7,99
2009;Spain;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       470129,00;        54000,00;            8,71
2009;Spain;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      3932078,00;       488000,00;            8,06
2009;Spain;Cephalopods;Octopus;PS5 Unspecified;PR4 Unspecified;        60215,00;        15000,00;            4,01
2009;Spain;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;         3243,00;         2000,00;            1,62
2009;France;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;       884450,00;        70000,00;           12,64
2009;Hungary;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      4463204,09;      1891000,00;            2,36
2017;Slovenia;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;       339900,00;       641400,00;            0,53
2014;Cyprus;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;       212610,00;        33110,00;            6,42
2014;Cyprus;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       366530,00;        41590,00;            8,81
2014;Denmark;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       770335,43;        88000,00;            8,75
2014;Estonia;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;        14870,00;          230,00;           64,65
2014;Greece;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;    239631640,00;     50688000,00;            4,73
2014;Spain;Other marine fish;Smelt;PS5 Unspecified;PR4 Unspecified;         1830,00;          420,00;            4,36
2014;Spain;Crustaceans;Shrimp, miscellaneous;PS5 Unspecified;PR4 Unspecified;       424120,00;       155510,00;            2,73
2004;Spain;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;     32295000,00;      4347000,00;            7,43
2014;Spain;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;    110494240,00;    220448550,00;            0,50
2005;Italy;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;     47717000,00;      6262000,00;            7,62
2007;Latvia;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       169000,00;        46000,00;            3,67
2018;Estonia;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       871566,94;       138931,00;            6,27
2018;Estonia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      3303307,00;       804145,00;            4,11
2018;Greece;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;    238895959,90;     46910800,00;            5,09
2004;Italy;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        32000,00;        11000,00;            2,91
2018;Spain;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;    137869351,30;      7636280,00;           18,05
2004;Italy;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;       342000,00;        19000,00;           18,00
2018;Spain;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;     54932106,69;      7857780,00;            6,99
2004;Lithuania;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;        31000,00;        29000,00;            1,07
2018;France;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;       968000,00;        44000,00;           22,00
2004;Malta;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;      1312000,00;       125000,00;           10,50
2004;Ireland;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2973000,00;      1171000,00;            2,54
2009;Lithuania;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;          594,00;            0,00;
2009;Latvia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       842230,00;       439000,00;            1,92
2009;Latvia;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;        50390,00;        18000,00;            2,80
2007;Belgium;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2009;Latvia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;        74819,00;        16000,00;            4,68
2009;Netherlands;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       838795,53;        80000,00;           10,48
2009;Portugal;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;       214748,00;        46000,00;            4,67
2014;Finland;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;        25330,00;         1000,00;           25,33
2014;Finland;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      6598900,00;       857000,00;            7,70
2004;Portugal;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2014;France;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;     11423000,00;      4002000,00;            2,85
2004;Romania;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;        41000,00;        30000,00;            1,37
2014;France;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;       145000,00;        64000,00;            2,27
2014;France;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;      3329000,00;       279000,00;           11,93
2014;Croatia;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;     19488280,00;      3214720,00;            6,06
2014;Croatia;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;       355190,00;        47550,00;            7,47
2014;Croatia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        66140,00;        15540,00;            4,26
2004;Romania;Miscellaneous aquatic products;Other products;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;Sweden;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2014;Hungary;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       290534,24;        61000,00;            4,76
2014;Italy;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;       121840,00;         6460,00;           18,86
2018;Croatia;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;      1154003,33;       881630,00;            1,31
2018;Hungary;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      7795174,10;      3585330,00;            2,17
2018;Hungary;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      1960840,73;       859402,00;            2,28
2007;Slovakia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      1467000,00;       886000,00;            1,66
2007;United Kingdom;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        20000,00;         7000,00;            2,86
2007;United Kingdom;Groundfish;Haddock;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2018;Italy;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       115100,00;        22200,00;            5,18
2018;Italy;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      5419198,00;       510353,00;           10,62
2018;Italy;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;        90440,00;         4610,00;           19,62
2018;Italy;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;        88565,00;         9250,00;            9,57
2018;Lithuania;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      7896062,22;      2848070,00;            2,77
2018;Latvia;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       507333,46;       210280,00;            2,41
2018;Netherlands;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;      3700000,00;       351000,00;           10,54
2018;Poland;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;         7973,71;          280,00;           28,48
2018;Poland;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      1388194,79;       423020,00;            3,28
2014;Spain;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;          140,00;           40,00;            3,50
2009;Portugal;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      6191614,00;      1345000,00;            4,60
2005;Italy;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;       263000,00;        11000,00;           23,91
2005;Italy;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     73848000,00;     63577000,00;            1,16
2009;Romania;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2750820,00;      1238000,00;            2,22
2009;Sweden;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;        50306,00;         2000,00;           25,15
2009;Sweden;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     17361004,00;      6413000,00;            2,71
2009;Slovenia;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;       507000,00;        65000,00;            7,80
2005;Italy;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2009;Slovenia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        20100,00;         3000,00;            6,70
2009;Slovenia;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;       187200,00;       312000,00;            0,60
2009;United Kingdom;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;      1445664,00;       322000,00;            4,49
2009;United Kingdom;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;    464611308,00;    144663000,00;            3,21
2009;United Kingdom;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;       276562,00;       112000,00;            2,47
2009;United Kingdom;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;         8081,00;         1000,00;            8,08
2010;Austria;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        14634,00;         2000,00;            7,32
2010;Austria;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      1253000,00;       151000,00;            8,30
2010;Bulgaria;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;        22586,00;        10000,00;            2,26
2005;Latvia;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2005;Malta;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      4789000,00;       665000,00;            7,20
2005;Belgium;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       251000,00;       104000,00;            2,41
2004;Austria;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      7254000,00;      1914000,00;            3,79
2003;United Kingdom;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2005;France;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;     10447000,00;      3780000,00;            2,76
2005;France;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Italy;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;     10624000,00;      1699000,00;            6,25
2002;Italy;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       427000,00;       232000,00;            1,84
2014;Malta;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;      2920060,87;       261024,00;           11,19
2014;Malta;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     11975888,23;      2703564,00;            4,43
2014;Netherlands;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     66110200,00;     54100000,00;            1,22
2002;Malta;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Netherlands;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Poland;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       933000,00;       300000,00;            3,11
2002;Portugal;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;      4187000,00;       808000,00;            5,18
2002;Portugal;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Portugal;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;     25050000,00;      3141000,00;            7,98
2000;Bulgaria;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;         9000,00;        10000,00;            0,90
2000;Cyprus;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Czech Republic;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       152000,00;        52000,00;            2,92
2000;Czech Republic;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2199000,00;       815000,00;            2,70
2005;Greece;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;      1704000,00;       295000,00;            5,78
2014;Portugal;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;      2812978,57;      1084960,00;            2,59
2014;Portugal;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;         1050,00;           70,00;           15,00
2014;Portugal;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      1974206,26;       788100,00;            2,51
2009;Portugal;Crustaceans;Shrimp, miscellaneous;PS5 Unspecified;PR4 Unspecified;         1562,00;         1000,00;            1,56
2018;Poland;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;      2774516,03;       492650,00;            5,63
2018;Portugal;Bivalves and other molluscs and aquatic invertebrates;Mussel, other;PS5 Unspecified;PR4 Unspecified;      1745552,92;      1745620,00;            1,00
2003;France;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2018;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Scallop;PS5 Unspecified;PR4 Unspecified;        72346,87;         5000,00;           14,47
2018;United Kingdom;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;    992891174,90;    156025000,00;            6,36
2018;United Kingdom;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     52430535,63;     12078302,00;            4,34
2014;Italy;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     49765670,00;     63699720,00;            0,78
2010;Czech Republic;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      1144062,01;       639000,00;            1,79
2010;Czech Republic;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       593043,00;       105000,00;            5,65
2010;Czech Republic;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       226000,00;        47000,00;            4,81
2010;Germany;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;       720676,00;        80000,00;            9,01
2010;Denmark;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;        80473,71;        15000,00;            5,36
2010;Denmark;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;       401862,00;         6000,00;           66,98
2010;Estonia;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;         5506,00;         1000,00;            5,51
2010;Greece;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;      1202000,00;        90000,00;           13,36
2010;Greece;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       490647,00;       123000,00;            3,99
2010;Greece;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;     15670759,00;      3531000,00;            4,44
2010;Spain;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;         9800,00;         3000,00;            3,27
2010;Spain;Cephalopods;Octopus;PS5 Unspecified;PR4 Unspecified;        46377,00;        10000,00;            4,64
2010;Spain;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     46513944,00;     17385000,00;            2,68
2010;Finland;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     35292180,00;     10990000,00;            3,21
2014;Romania;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;         2220,00;          650,00;            3,42
2014;Sweden;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;        26030,00;         1000,00;           26,03
2014;Sweden;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;       499300,00;        64000,00;            7,80
2014;Sweden;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     36073430,00;      9444000,00;            3,82
2004;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2014;United Kingdom;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;      1345070,00;       250000,00;            5,38
2014;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;      5414350,00;      1687060,00;            3,21
2010;France;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;    131593776,60;     70339400,00;            1,87
2010;France;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       600000,00;       200000,00;            3,00
2010;Ireland;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     15590079,00;     21934000,00;            0,71
2010;Italy;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;       571205,00;        74000,00;            7,72
2010;Latvia;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       128367,00;        45000,00;            2,85
2010;Netherlands;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     69136842,00;     56227000,00;            1,23
2010;Netherlands;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;      2247835,11;       250000,00;            8,99
2010;Portugal;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;      1101450,00;       548000,00;            2,01
2015;Czech Republic;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        12573,77;         5000,00;            2,51
2015;Czech Republic;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       434400,09;        75000,00;            5,79
2015;Germany;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      2251368,40;      2333600,00;            0,96
2015;Denmark;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       304000,00;        44000,00;            6,91
2015;Denmark;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     96158791,88;     32359000,00;            2,97
2015;Greece;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;        30049,25;         3500,00;            8,59
2015;Spain;Other marine fish;Smelt;PS5 Unspecified;PR4 Unspecified;         4157,57;         1350,00;            3,08
2015;Spain;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;     71210046,38;      4690740,00;           15,18
2015;Spain;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;    113234508,30;     18600360,00;            6,09
2015;Spain;Crustaceans;Crab;PS5 Unspecified;PR4 Unspecified;         3188,80;          750,00;            4,25
2015;Spain;Cephalopods;Octopus;PS5 Unspecified;PR4 Unspecified;         1576,30;          240,00;            6,57
2015;Spain;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     46122373,13;     16158240,00;            2,85
2010;Romania;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      3797985,00;      6008000,00;            0,63
2010;Sweden;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;        23632,00;         1000,00;           23,63
2010;Slovenia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        11600,00;         1000,00;           11,60
2010;Slovenia;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;         6480,00;         1000,00;            6,48
2010;Slovakia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       367000,00;       130000,00;            2,82
2010;United Kingdom;Flatfish;Halibut, Atlantic;PS5 Unspecified;PR4 Unspecified;       972209,00;       139000,00;            6,99
2010;United Kingdom;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     40757892,00;     14174000,00;            2,88
2011;Austria;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       119680,44;         8840,00;           13,54
2011;Belgium;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;       142000,00;        20000,00;            7,10
2011;Cyprus;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;       294000,00;        41000,00;            7,17
2005;Cyprus;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       485000,00;        70000,00;            6,93
2005;Czech Republic;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        95000,00;        44000,00;            2,16
2005;Czech Republic;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       136000,00;        69000,00;            1,97
2004;Slovakia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        20000,00;         5000,00;            4,00
2004;United Kingdom;Groundfish;Haddock;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;United Kingdom;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;    593324000,00;    130104000,00;            4,56
2007;United Kingdom;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;       407000,00;        62000,00;            6,56
2007;Romania;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      1695000,00;      2000000,00;            0,85
2015;France;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;     14452000,00;      2797000,00;            5,17
2015;France;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;     12538000,00;      1292000,00;            9,70
2015;France;Flatfish;Sole, other;PS5 Unspecified;PR4 Unspecified;      2468000,00;       260000,00;            9,49
2015;Croatia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        41539,86;         8800,00;            4,72
2015;Croatia;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;        85458,84;        84900,00;            1,01
2015;Hungary;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       152032,26;        30000,00;            5,07
2015;Ireland;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     12691778,00;     16015000,00;            0,79
2007;Portugal;Flatfish;Brill;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;France;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;France;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;        11000,00;        35000,00;            0,31
2007;Ireland;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     42680000,00;     32835000,00;            1,30
2015;Italy;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;       246463,49;        28080,00;            8,78
2011;Cyprus;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       536000,00;        66000,00;            8,12
2011;Czech Republic;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        75000,00;        28000,00;            2,68
2007;Ireland;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2011;Czech Republic;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       586000,00;        67000,00;            8,75
2011;Denmark;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;        53524,43;        10000,00;            5,35
2011;Spain;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;     45465000,00;      2866000,00;           15,86
2011;Finland;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      9228000,00;      1211000,00;            7,62
2011;France;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      7953000,00;      1390000,00;            5,72
2015;Latvia;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       153000,00;        49000,00;            3,12
2015;Latvia;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;         6300,00;         2000,00;            3,15
2015;Malta;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;      4782798,15;       385078,00;           12,42
2015;Netherlands;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       909644,89;       130000,00;            7,00
2015;Poland;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     37630819,35;     17149380,00;            2,19
2015;Portugal;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;     26200409,94;      2416080,00;           10,84
2004;Spain;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;    112972000,00;    231633000,00;            0,49
2004;Spain;Bivalves and other molluscs and aquatic invertebrates;Mussel, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2004;Spain;Cephalopods;Octopus;PS5 Unspecified;PR4 Unspecified;        73000,00;        12000,00;            6,08
2015;Portugal;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      6123779,75;      1098820,00;            5,57
2004;Bulgaria;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;        42000,00;        33000,00;            1,27
2011;Italy;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      5688000,00;       510000,00;           11,15
2004;Cyprus;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;        21000,00;         2000,00;           10,50
2004;Czech Republic;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        41000,00;        19000,00;            2,16
2011;Lithuania;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      5675597,54;      2768110,00;            2,05
