year;country;commodity_group;main_commercial_species;preservation;presentation;value(EUR);volume(kg);price
2005;Cyprus;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;      3538000,00;       583000,00;            6,07
2005;Czech Republic;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       100000,00;        47000,00;            2,13
2004;Slovakia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       560000,00;       348000,00;            1,61
2007;United Kingdom;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     48469000,00;     15695000,00;            3,09
2015;France;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;       335969,00;       765180,00;            0,44
2015;France;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;      1469000,00;       300000,00;            4,90
2015;France;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;         5096,00;         1048,00;            4,86
2015;France;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;      2848000,00;       300000,00;            9,49
2015;Croatia;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;        67037,05;        10000,00;            6,70
2015;Ireland;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;       172000,00;         4200,00;           40,95
2015;Italy;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;          900,00;          130,00;            6,92
2004;Poland;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      3799000,00;      1854000,00;            2,05
2007;Poland;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      3254000,00;       500000,00;            6,51
2007;Portugal;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;      7596000,00;      1391000,00;            5,46
2007;France;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;Ireland;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;Ireland;Bivalves and other molluscs and aquatic invertebrates;Sea urchin;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;Italy;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;     10169000,00;      1000000,00;           10,17
2007;Italy;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
